iter	Passed	Remaining
467	231115	1250394
468	231677	1250266
469	232323	1250590
470	232852	1250285
471	233315	1249622
472	233409	1246989
473	233869	1246317
474	234395	1245995
475	234912	1245630
476	235428	1245253
477	236000	1245172
478	236544	1244947
479	237013	1244322
480	237540	1243999
481	238048	1243580
482	238640	1243598
483	239189	1243389
484	239633	1242633
485	240201	1242523
486	240692	1242010
487	241216	1241670
488	241619	1240710
489	242107	1240182
490	242622	1239797
491	243169	1239571
492	243586	1238683
493	244100	1238289
494	244547	1237556
495	245034	1237028
496	245531	1236550
497	246053	1236194
498	246505	1235489
499	247023	1235116
500	247486	1234470
501	247978	1233966
502	248487	1233546
503	249000	1233143
504	249503	1232694
505	250006	1232243
506	250530	1231899
507	251038	1231471
508	251506	1230851
509	252008	1230396
510	252494	1229862
511	252974	1229296
512	253519	1229048
513	253953	1228266
514	254377	1227435
515	254904	1227096
516	255336	1226307
517	255820	1225767
518	256236	1224898
519	256698	1224252
520	257120	1223417
521	257511	1222437
522	257970	1221784
523	258491	1221422
524	259022	1221106
525	259484	1220466
526	260010	1220125
527	260440	1219336
528	260814	1218286
529	261317	1217838
530	261827	1217425
531	262285	1216770
532	262906	1216867
533	263369	1216236
534	263615	1214603
535	264120	1214165
536	264574	1213494
537	265097	1213141
538	265631	1212838
539	266109	1212275
540	266599	1211768
541	267065	1211156
542	267578	1210753
543	268005	1209966
544	268490	1209438
545	269014	1209087
546	269457	1208371
547	269850	1207433
548	270394	1207169
549	270858	1206551
550	271336	1205993
551	271805	1205398
552	272266	1204766
553	272732	1204158
554	273305	1204020
555	273763	1203377
556	273917	1201402
557	274446	1201070
558	274975	1200741
559	275452	1200186
560	275970	1199806
561	276492	1199445
562	276951	1198811
563	277429	1198257
564	277895	1197655
565	278345	1196982
566	278812	1196384
567	278942	1194344
568	279426	1193825
569	279792	1192799
570	280321	1192470
571	280819	1192011
572	281308	1191509
573	281729	1190723
574	282226	1190259
575	282659	1189527
576	283175	1189141
577	283688	1188744
578	284113	1187977
579	284598	1187463
580	285063	1186865
581	285470	1186027
582	285948	1185484
583	286366	1184695
584	286808	1184005
585	287310	1183560
586	287708	1182690
587	288196	1182192
588	288689	1181714
589	289086	1180846
590	289579	1180365
591	290058	1179833
592	290541	1179314
593	290991	1178661
594	291464	1178106
595	291928	1177510
596	292399	1176942
597	292899	1176494
598	293420	1176132
599	293957	1175830
600	294475	1175453
601	295016	1175163
602	295491	1174614
603	296035	1174337
604	296467	1173620
605	296898	1172897
606	297388	1172407
607	297816	1171674
608	298307	1171188
609	298769	1170588
610	299289	1170218
611	299799	1169806
612	299961	1168041
613	300467	1167613
614	300973	1167188
615	301436	1166598
616	301913	1166061
617	302411	1165603
618	302889	1165073
619	303405	1164684
620	303927	1164321
621	304432	1163890
622	304906	1163341
623	305369	1162753
624	305877	1162332
625	306316	1161655
626	306834	1161274
627	307310	1160733
628	307796	1160232
629	308327	1159899
630	308819	1159420
631	309330	1159012
632	309780	1158374
633	310268	1157879
634	310718	1157242
635	311201	1156729
636	311715	1156333
637	312190	1155788
638	312663	1155241
